time,u_var,v_var,w_var,u,v,w,Tau,H,LE,wind_speed,wind_dir,ust,TKE,L,(z-d)/L,Bowen_ratio,sonic_temperature,temp,pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,q_old,q,theta,Ts_std,theta_std,u_unrot,v_unrot,w_unrot,tke,theta_std_2
01:30,0.13622870601557100,0.20640348193412200,1.36285769446988E-02,0.48443706258648900,-4.84320755776119E-14,2.40606538055195E-15,2.11165326725732E-02,-9.8925893923566200,-11.074739182263100,0.48443706258648900,131.26540129345800,0.14586283916005400,0.18007300563746500,22.807179479896800,5.83149705632087E-02,0.89325709883987100,278.29354119703500,276.54598857681300,79375.040879516000,0.99250632561588200,997.26231084869900,2.91493708333856E-02,-1.59805120972832E-02,1.22977597852496E-02,1569.4504147252300,776.67310678841400,1.23906109894246E-02,12.3906109894246,295.432146626508,0.21914289011598400,0.500096804306,0.11031358332214200,0.46792122239561800,-5.96649861626656E-02,0.178130382447196,0.234108817770537
02:00,6.17611839346191E-02,0.10770241715234700,1.57349215240387E-02,0.66904968112189700,-3.06721704286853E-14,1.7259143582754E-15,9.37835318976151E-03,-11.699290409088300,2.1507398103305700,0.66904968112189700,131.30592426870100,9.71605312544733E-02,9.78656280164873E-02,5.7019180787593700,0.23325484190214500,-5.4396586481049600,278.03289563200200,276.31061191931100,79375.040879516000,0.99345184975192200,997.53683730721800,2.9122069968987E-02,3.10275765005122E-03,1.21418196169677E-02,1548.2320232935600,763.86756049650900,1.22218501279148E-02,12.2218501279148,295.180695388508,8.91891083368302E-02,0.319040853112,0.15265577775687200,0.64548126406884800,-8.76220694963819E-02,0.0925992613055024,0.0952801010322201
02:30,3.07623871346055E-02,8.42587862269518E-02,5.60247615891731E-03,0.54669828256489400,-3.28130361539949E-14,-1.64361727592674E-15,5.72795480791272E-03,-5.4049078933210900,-18.077852349493300,0.54669828256489400,134.83248564116900,7.58401980312663E-02,6.15139221126226E-02,5.8636153704642800,0.22682251750334200,0.29897953522518900,277.32335219234900,275.40489838791600,79375.040879516000,0.99586545157704200,997.34530514312700,2.90477500808721E-02,-2.60575142629084E-02,1.3602231929933E-02,1728.7503843036500,716.12010426062900,1.36587045051042E-02,13.6587045051042,294.213127953574,8.58448986682232E-02,0.313002375099,0.15713248610916400,0.51938344448027500,-6.6552472293204E-02,6.03118247602373E-02,0.0917075052182285
03:00,3.7393899358389E-02,7.97514208791446E-02,1.03436604069639E-02,0.74420771939882200,3.04450723296145E-14,-4.00949554545056E-15,8.46317808091902E-03,-8.9841377624539100,-42.079449134294100,0.74420771939882200,140.09595811768100,9.21644582739372E-02,6.45394144280773E-02,6.3239999260791200,0.21030993288208300,0.21350416764681400,277.16310184648300,275.08248978354700,79375.040879516000,0.99633762237394000,996.94416447647600,2.9030964938329E-02,-6.0634974453248E-02,1.4776259834051E-02,1875.7462981684300,699.69934319162700,1.4830575000113E-02,14.830575000113,293.868701095062,0.11165885080072900,0.356974310771,0.27830277780170700,0.68551581954824400,-8.03788195343506E-02,6.37444903222488E-02,0.11928436984992
03:30,5.99441379887954E-02,9.13090597590312E-02,1.675587136518E-02,0.74432850735107200,-2.09013243402706E-14,-5.91711736728427E-16,6.96959893999215E-03,-15.254490143957100,-28.098641107446900,0.74432850735107200,131.01449303086400,8.36181009807744E-02,8.58389761108731E-02,2.7860236975651600,0.47738287408048600,0.54289067167430600,277.07155591427800,275.19809493316100,79375.040879516000,0.99679806723868600,997.68046573714900,2.9021376119578E-02,-4.04935781078025E-02,1.33056544444436E-02,1689.7913230062900,705.65743027086300,1.33483951080511E-02,13.3483951080511,293.992201268351,0.29222826507213600,0.577499345992,0.16687395826003300,0.72197727770683200,-7.01913056233569E-02,8.40045345565033E-02,0.312185412992246
04:00,6.53666022100891E-02,4.34433515136296E-02,9.17266721997564E-03,0.60069069959234500,2.70585775230708E-14,-5.12460152553758E-15,4.6491724720438E-03,-5.4924085990724200,-54.521162770598500,0.60069069959234500,141.96239344512700,6.81527422234285E-02,5.98050463197114E-02,4.1837011923364700,0.31790033247026300,0.10073902169295400,275.86640086110400,273.67186874278500,79375.040879516000,1.0009421725332800,997.69276790774700,2.8895144258768E-02,-7.84579305828363E-02,1.57380382049417E-02,1987.5783627286300,632.10185219627500,1.57232242149517E-02,15.7232242149517,292.361744497016,0.23494789425665100,0.517816834368,0.24252358330944800,0.54568051389043600,-6.5149097274531E-02,5.89913104718472E-02,0.250993193221968
04:30,2.83994334181357E-02,4.79057030588229E-02,6.73669571312139E-03,0.76398126859766200,5.72630333310791E-15,1.39649815355969E-15,3.09418869362254E-03,-3.4999974069915500,-140.23284123973500,0.76398126859766200,144.48110683064500,5.55743056511427E-02,4.23345182659484E-02,3.5394349234759100,0.37576619679558100,2.49584717534755E-02,275.45414254909100,272.29950774334400,79375.040879516000,1.0018407766449000,996.08508038975000,2.88519629820329E-02,-0.20153782844244600,2.27578254750215E-02,2859.5006984232200,571.22674131231700,2.27160103736603E-02,22.7160103736603,290.895660833688,0.18622895967992000,0.461013873998,0.33942338891628900,0.68134054178783600,-6.50707917647941E-02,4.152091609504E-02,0.198947095943785
05:00,0.13751680049166600,0.10216129525598000,1.92351082637697E-02,0.70853751222567500,-3.93844148360719E-15,5.97438189641537E-15,3.77293577524237E-03,1.5494307876310400,-398.75555865912200,0.70853751222567500,135.61913285980300,6.1368347753182E-02,0.12951571085318600,-10.678424059596800,-0.12455021383091800,-3.88566567658954E-03,275.20132672924500,270.44133063081400,79375.040879516000,1.0018219687382300,994.82093195961600,2.88254822306164E-02,-0.57207094205930700,3.45743407230207E-02,4313.8117580897400,496.27630947879300,3.4511461918295E-02,34.511461918295,288.91058321245,0.30469065748539200,0.589684830577,0.21304893058457700,0.67083799994513100,-8.13138194732434E-02,0.129456602005708,0.325498899699096
05:30,3.11024357585024E-02,4.61740101240206E-02,8.52907937699698E-03,0.72225871183978400,1.64200613518453E-15,3.70642707637076E-16,2.72337039869353E-03,-5.2292674224982600,-35.678267212642000,0.72225871183978400,145.12583750907400,5.21054059473474E-02,4.39652370213339E-02,1.9416958827632800,0.68496823411256200,0.14656730360059000,274.92168670018500,270.61089723658600,79375.040879516000,1.0030928737553900,995.51947710423900,2.8796191824264E-02,-5.11937010236623E-02,3.13315947351437E-02,3911.8942379155000,503.15033148468100,3.12349888578553E-02,31.2349888578553,289.091730032178,0.13479181355915200,0.392213145213,0.32792662491400900,0.64011284719148800,-6.6161305620261E-02,4.290276262976E-02,0.143997152272558
06:00,2.17122703848895E-02,2.64567500378978E-02,6.06311851380046E-03,0.69032648698355100,9.49759056406296E-15,3.47220398845622E-15,1.72343692240902E-03,-5.3825813520452500,74.968654057349600,0.69032648698355100,151.88093379885900,4.14225021385443E-02,2.72293714369113E-02,0.94230661909137700,1.4114301789394800,-7.17977589397254E-02,274.30374678293900,268.33619876713300,79375.040879516000,1.0044370753620500,996.86038182584700,2.87314667870853E-02,0.10733942670693300,4.37995065307933E-02,5421.2493037907700,422.15713639719200,4.36060233190871E-02,43.6060233190871,286.661685556694,5.5448088976935E-02,0.251555419537,0.38357433335571400,0.57122934744010700,-5.58428334250124E-02,2.71160694682939E-02,0.0592348058892329
