time,TIMESTAMP,Hs,Fc_wpl,LE_wpl,Hc,tau,u_star,Ts_mean,stdev_Ts,cov_Ts_Ux,cov_Ts_Uy,cov_Ts_Uz,co2_mean,stdev_co2,cov_co2_Ux,cov_co2_Uy,cov_co2_Uz,h2o_Avg,stdev_h2o,cov_h2o_Ux,cov_h2o_Uy,cov_h2o_Uz,Ux_Avg,stdev_Ux,cov_Ux_Uy,cov_Ux_Uz,Uy_Avg,stdev_Uy,cov_Uy_Uz,Uz_Avg,stdev_Uz,press_mean,rho_a_mean,wnd_dir_compass,wnd_dir_csat3,wnd_spd,rslt_wnd_spd,std_wnd_dir,Fc_irga,LE_irga,co2_wpl_LE,co2_wpl_H,h2o_wpl_LE,h2o_wpl_H,n_Tot,csat_warnings,irga_warnings,del_T_f_Tot,sig_lck_f_Tot,amp_h_f_Tot,amp_l_f_Tot,chopper_f_Tot,detector_f_Tot,pll_f_Tot,sync_f_Tot,agc_Avg,,panel_temp_Avg,batt_volt_Avg,RH,Es,Ws,q,theta,theta_std,th,utemp,v_rot,phi,u_rot,w_rot,tke,diss_FSR
5,8/19/16 5:00,-1.422108,0.001027363,-1.234792,-1.349639,0.007484551,0.08687653,7.306499,0.076295,0.002960724,-0.006198635,-0.001427408,573.5973,0.2940814,-0.01311576,0.07297128,0.00426656,5.653324,0.02871489,0.002802775,-0.006480181,-0.0004726574,-0.171327,0.2410373,0.001989607,-0.007500764,1.045072,0.4198485,-0.0008389,-0.1352478,0.1124338,80.01373,0.9916556,260.6898,99.31017,1.087571,1.059021,13.12381,0.00426656,-1.153284,-0.0004429973,-0.0027962,-0.01065339,-0.07085489,18000,0,0,0,0,0,0,0,0,0,0,44,6.876482,13.77963,,75.79,10.219749,0.00794449120070431,6.0211298810138,298.923773958302,0.0813188120634303,-1.408304,-1.059022,3.025484E-15,0.668252173825463,-0.915034436852432,-1.06695217931661,0.1235066,0.012559320309388
5.5,8/19/16 5:30,-0.3429283,0.0004090373,-0.5385115,-0.3113321,0.003309578,0.05777205,7.24059,0.04391663,0.0002525067,0.003407423,-0.0003442254,573.393,0.09331734,-0.003202097,-0.0001503434,0.001252396,5.717829,0.02337029,0.001883535,-0.0007236828,-0.0002116387,-0.1024431,0.1257311,0.002346214,-0.00333653,0.6588631,0.1880827,-8.49E-05,-0.09007899,0.082298,79.99371,0.9916011,261.1622,98.83779,0.680353,0.6667816,11.44011,0.001252396,-0.5163984,-0.0001983113,-0.0006450474,-0.004825208,-0.0172878,18000,0,0,0,0,0,0,0,0,0,0,44,6.514224,13.79114,,77.39,10.17380,0.00791,6.12213241260656,298.87491,0.0468117671968165,-1.4165468,-0.6667797,1.9743228E-15,0.72126446521168,-0.560214750244553,-0.672702709887835,0.02897818617525,0.004707608495874
6,8/19/16 6:00,-3.550977,-0.001618914,-0.5337685,-3.519676,0.004898638,0.07027072,7.085091,0.1074406,0.006079113,0.02302631,-0.003562852,573.5486,0.1534957,-0.008052211,-0.01901138,0.005811238,5.738082,0.01130069,8.24E-05,-0.001326795,-0.0001437734,-0.1129745,0.1020441,0.01093625,-0.003125317,0.510251,0.2704022,-0.003823085,-0.08297254,0.07780687,79.98512,0.9920341,257.5156,102.4844,0.5427672,0.5226087,15.61013,0.005811238,-0.3508071,-0.0001346998,-0.007295452,-0.003288163,-0.1796733,18000,0,0,0,0,0,0,0,0,0,0,44,6.353964,13.80365,,77.66,10.066126,0.00782786860999971,6.07912276252577,298.718338654796,0.1145269759813,-1.35290183882189,-0.522608190379035,1.85010423647824E-15,0.633465510725962,-0.470327142706404,-0.528187537147325,0.0447921285644234,0.003318114317496
6.5,8/19/16 6:30,-1.888616,-0.002796811,-0.9468784,-1.833179,0.01399912,0.1187061,6.628427,0.1730758,-0.01395237,-0.01291204,-0.001892194,575.2887,0.5789776,0.005889416,0.01033163,0.001339495,5.674146,0.0469875,0.004514456,0.004884206,-0.0003461312,-0.7834645,0.2455838,0.03942876,0.008966859,0.0009085277,0.2823009,-0.01086995,-0.1061536,0.1504288,79.96679,0.9934695,180.0665,179.9335,0.8321894,0.7834679,19.59902,0.001339495,-0.84456,-0.0003247768,-0.00381153,-0.007816089,-0.09450234,18000,0,0,0,0,0,0,0,0,0,0,44,5.984236,13.81032,,78.14,9.755698,0.00758820492177156,5.9294233258723,298.2511043787,0.184503319447239,-0.00115962789986834,-0.783465026777093,2.60228863284417E-19,0.1346724,-0.790623826466029,-0.107062056325678,0.0813170,0.009376290524637
7,8/19/16 7:00,-2.668726,-0.006463405,-0.9210945,-2.614812,0.00934437,0.09697467,6.552301,0.1069108,-0.01572187,-0.01064454,-0.002673297,575.4042,0.3668319,0.04412774,0.03747811,-0.0007250358,5.626285,0.03607934,-0.001965588,-0.001641356,-0.0003202918,-0.7719288,0.2391602,0.02769271,0.009289231,0.04804172,0.1810246,-0.001465278,-0.1370228,0.1071563,79.95715,0.9936498,183.5613,176.4387,0.7984346,0.7734203,14.33705,-0.0007250358,-0.7815121,-0.0003005226,-0.005437847,-0.007169942,-0.1324125,18000,0,0,0,0,0,0,0,0,0,0,44,5.565624,13.83782,,76.95,9.704780,0.00754951017106216,5.80934807663233,298.180232971595,0.113973632455672,-0.0621557802705821,-0.77342231615722,1.63108426765035E-17,0.1756772,-0.785466268348683,-0.184799922300357,0.0507250,0.009254358880704
7.5,8/19/16 7:30,8.46703,-0.02686221,-2.092216,8.589269,0.02042144,0.1432232,6.029915,0.3082117,0.07971398,0.02140278,0.008465409,576.1276,1.253073,-0.2362199,-0.002706155,-0.04378955,5.582683,0.02706605,0.001329845,0.003057683,-0.001019026,-0.9589073,0.4211611,0.07547799,0.01867624,0.049465,0.291539,-0.008483905,-0.1150498,0.1788858,79.95715,0.9955422,182.953,177.047,1.00459,0.9601802,17.0305,-0.04378955,-2.486423,-0.0009554586,0.0178828,-0.02259051,0.416797,18000,0,0,0,0,0,0,0,0,0,0,44,5.263813,13.84066,,79.46,9.361666,0.00728259584067808,5.7867506550028,297.623336662111,0.328573044204493,-0.0515390743973895,-0.960182272393263,1.60027116558048E-17,0.1194093,-0.967050375952657,-0.164362031798516,0.147185895057925,0.014027796444453
8,8/19/16 8:00,17.02685,-0.06936395,-1.169401,17.0951,0.02380931,0.154577,5.746534,0.1920324,-0.007317148,-0.01809747,0.01700802,577.5195,1.067634,0.1839996,0.2196242,-0.1042795,5.62789,0.03709972,0.009687217,0.007920186,-0.0008181237,-1.266095,0.4453985,0.1175733,0.002521658,-0.1135504,0.3653969,-0.02376061,-0.09329332,0.2209608,79.95108,0.9964538,174.8751,-174.8751,1.316016,1.271177,14.95141,-0.1042795,-1.996222,-0.0007682698,0.03568378,-0.01826764,0.8450885,18000,0,0,0,0,0,0,0,0,0,0,44,4.989053,13.84643,,78.54,9.180057,0.00714186190090542,5.60921833697112,297.327690422718,0.204723053239276,0.0894462213163802,-1.27117671563208,-3.53924611840029E-17,0.0735529476170942,-1.27459552269168,0.0206300337496892,0.1903592,0.02436890619699
8.5,8/19/16 8:30,8.036172,-0.008424316,14.22185,7.20704,0.01702047,0.1306339,5.433845,0.2306457,0.08673882,0.04051098,0.00801985,578.9592,1.196311,-0.4160528,-0.1446769,-0.02878839,5.61747,0.05802794,0.01536547,0.007397782,0.005614202,-1.933691,0.6588282,0.1827655,0.01655859,-0.4297446,0.382974,-0.004127361,-0.005801486,0.2846258,79.93471,0.9973775,167.4702,-167.4702,2.005587,1.980874,8.991455,-0.02878839,13.69865,0.005280256,0.01508382,0.1250079,0.3981861,18000,0,0,0,0,0,0,0,0,0,0,44,4.765183,13.86533,,81.4,8.983287,0.00699021020322323,5.69003110542371,297.011730907688,0.245902552545412,0.218686435065384,-1.98086882572021,-8.23698709240261E-16,0.00300020457930339,-1.98087731622016,0.424081286448307,0.33086776390844,0.05885812412873
9,8/19/16 9:00,14.82353,-0.02233998,19.1931,13.70387,0.05745451,0.240132,5.618063,0.3464504,0.08417103,0.04984669,0.01480827,579.3,1.869641,-0.2785152,-0.1590912,-0.05810964,5.650201,0.07437205,0.02216882,0.006132798,0.007494268,-2.799731,0.7035321,0.2155919,0.05753186,-0.6502876,0.4594636,0.003892094,0.07076921,0.3395795,79.90928,0.9963779,166.9238,-166.9238,2.901906,2.87426,7.906027,-0.05810964,18.28601,0.007059988,0.02870968,0.1680174,0.7390727,18000,0,0,0,0,0,0,0,0,0,0,44,4.573214,13.87492,,78.75,9.098756,0.00708231420338911,5.57732243516892,297.235182103335,0.369401166782054,0.22822126031286,-2.87425949334342,5.2143317441633E-16,-0.0252717648544675,-2.87512997436075,0.719221790368469,0.4106892,0.12399558554202
9.5,8/19/16 9:30,18.58913,-0.03414525,25.12882,17.11972,0.04839363,0.2206576,6.27512,0.3374084,0.1317133,0.07055953,0.01861596,577.0663,1.333459,-0.3915263,-0.2139054,-0.07912417,5.628038,0.1151262,0.03293407,0.0116407,0.009830115,-2.985891,0.7536242,0.2668544,0.04851162,-0.7973733,0.5168539,-0.004161548,0.1276249,0.3607401,79.89941,0.9939172,165.0482,-165.0482,3.121585,3.090524,8.079911,-0.07912417,23.98548,0.009247531,0.03573139,0.220063,0.9232796,18000,0,0,0,0,0,0,0,0,0,0,44,4.435391,13.87512,,75.25,9.52136,0.00741,5.57766518903059,297.94629,0.35977288496407,0.26095746177179,-3.09052572282353,1.08504305540436E-16,-0.0427166511819146,-3.0931565419416,0.920677253586819,0.4826104,0.1435142608943
