time,u_var,v_var,w_var,u,v,w,Tau,H,LE,wind_speed,wind_dir,ust,TKE,L,(z-d)/L,Bowen_ratio,sonic_temperature,temp,pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,q_old,q,theta,ts_std (k^2),theta_std
00:30,0.39760292381037600,1.4404698055112300,3.31084764852354E-02,0.48806805898993000,8.12901568780178E-15,1.35464068683431E-14,2.26878480691207E-02,-5.2516831919942800,8.9327237960307800,0.48806805898993000,172.85322323586800,0.15113984396122100,0.98656196349995700,48.583163735624800,2.7375738789624E-02,-0.58791509867660400,278.32434335920500,277.80109655067300,79375.040879516000,0.99319692482671800,1008.4179296792600,2.91525971520551E-02,1.29050527276201E-02,3.66807175302072E-03,470.26422281686400,848.91527878232200,3.69319684881293E-03,3.69319684881293,296.77296970217,8.31710249899218E-03,0.097426345821
01:00,7.81272665066097E-02,8.00584727272484E-02,1.95607456158949E-02,0.32462084921792300,3.12295871638829E-15,5.49635873337418E-15,2.1214519193573E-03,-3.5552170856600500,5.3445662157261000,0.32462084921792300,50.662814296342200,4.62104553594728E-02,9.19464438503062E-02,2.0511392529176500,0.64842013925097200,-0.66520217771818700,278.25066992780900,277.73559614346000,79375.040879516000,0.99346528764708700,1008.3673173169500,2.91448803571805E-02,7.72078138314644E-03,3.61260453151801E-03,463.04390887158400,845.03636936628000,3.63636714481898E-03,3.63636714481898,296.702996074972,7.35285179114961E-03,0.091604813095
01:30,0.76750652690134300,0.33380487316946000,0.10994017952992300,1.1673150518329600,2.99417897052769E-14,3.37977844344922E-15,2.00714391024572E-02,-11.435382703147400,7.8139547537953700,1.1673150518329600,18.138039641743700,0.14206277290080800,0.60925813336069100,18.528340318008100,7.17819285037282E-02,-1.4634564779880600,277.95088017908700,277.42639958319900,79375.040879516000,0.99453011278415800,1008.4238642048700,2.91134794036408E-02,1.12847477517817E-02,3.68662871055377E-03,472.00580108444600,826.92611166909600,3.70690506316914E-03,3.70690506316914,296.372683550832,2.08033083788909E-02,0.154083661592
02:00,0.43926778365957800,0.12769201184930200,6.53725895359962E-02,0.59807501396166000,-4.43653281311425E-14,-3.04431294399318E-15,1.78998961002516E-02,-5.8224063803307900,2.1082111005355700,0.59807501396166000,12.720728411867900,0.13408412492475600,0.34835801263529100,30.597024551845700,4.34682790068804E-02,-2.7617757912628700,277.64395886739100,277.11333018947700,79375.040879516000,0.99562498391696100,1008.4605106663000,2.90813314669951E-02,3.04372678929292E-03,3.73816881680211E-03,478.06443614095100,808.94011058368300,3.75459523132446E-03,3.75459523132446,296.038233705777,2.03633681698614E-02,0.152445705172
02:30,8.89357336336449E-02,0.20373172768638800,5.99051190721452E-03,0.45359545704914400,-1.41158540784723E-13,3.45562430018985E-16,5.276284694359E-03,-2.3152467368952100,0.54176808864108900,0.45359545704914400,161.20439248794600,7.28137050964269E-02,0.17786222130133900,12.322056419287300,0.10793652899675000,-4.2735014952662000,277.77011954964500,277.25106765598500,79375.040879516000,0.99518073414609600,1008.3896334361700,2.9094545947273E-02,7.82279436277464E-04,3.65316540552218E-03,467.42586820214700,816.81207091953700,3.67085623764284E-03,3.67085623764284,296.185377678505,1.48648208550099E-02,0.130247749098
03:00,0.13381651831427800,0.22687916748147600,1.24051576231558E-02,1.5088051061916800,6.23202046765214E-14,-2.50154866083856E-15,1.64559417551931E-02,-5.4861864583208200,3.6432457331489500,1.5088051061916800,108.66554029709700,0.12859056232886300,0.19159225513156900,28.640967097886500,4.6436979430703E-02,-1.5058513370106900,277.77086180453800,277.26457356817900,79375.040879516000,0.99518667065600100,1008.3109873044000,2.90946236934652E-02,5.2606879396484E-03,3.56318054367893E-03,455.93450968047200,817.59006504508300,3.5804142566843E-03,3.5804142566843,296.1998059501,3.69479452882191E-02,0.205345662068
03:30,0.16951941509973800,0.11143537785228800,1.49428806714777E-02,1.4329719836359800,2.03236926276241E-14,-5.02154051287613E-16,6.29794189541258E-03,-7.6637658497954800,0.59103957122313500,1.4329719836359800,119.88060472580000,7.95565572143797E-02,0.15553205562117800,4.8552068662475300,0.27393271525584300,-12.966586710828200,277.81005687501700,277.31531200316000,79375.040879516000,0.99505408678976500,1008.2400920639600,2.90987291126542E-02,8.53476573625414E-04,3.4808392154207E-03,445.47992010433100,820.51081512828900,3.49814071579823E-03,3.49814071579823,296.254009465544,4.24672543259641E-02,0.220149385931
04:00,0.15442497587772900,0.11747566155651100,1.36222881580081E-02,0.69025742252468800,3.74586828725832E-14,-2.76286805868292E-15,6.66073123327662E-03,-5.6829397390246700,-2.0571901844238300,0.69025742252468800,141.25539654956800,8.18150885835104E-02,0.14498542198196200,7.1212678002330200,0.18676449718075200,2.7624765965021000,277.80273356246900,277.29767336243000,79375.040879516000,0.99507336096761200,1008.3035718874500,2.90979620450742E-02,-2.97058647542093E-03,3.5537088558592E-03,454.77683170894700,819.49309461887500,3.57130337848012E-03,3.57130337848012,296.235166228941,3.75222323711781E-02,0.206935366813
04:30,6.87389290511976E-02,8.27883785362112E-02,5.90527775878799E-03,0.60485631784469100,-1.32462831165E-14,-1.9869121977427E-15,3.83158291253467E-03,-1.5772010768601900,-0.65936375431931500,0.60485631784469100,135.72453319439000,6.20425815509892E-02,8.13155986115685E-02,11.189671149726000,0.11885961456808100,2.3920045142432700,277.70976308907400,277.19820653988400,79375.040879516000,0.99540199618552900,1008.3431710222900,2.90882240152446E-02,-9.5203237397316E-04,3.60189927818574E-03,460.77849651017400,813.78555010781300,3.61853732661633E-03,3.61853732661633,296.128906517657,2.01587096356019E-02,0.151677705950
05:00,0.10550226605376000,5.18281890455455E-02,5.38440306680541E-03,0.75869105699537900,1.86465192275275E-14,7.84387683663537E-16,2.18975416286447E-03,-3.0577096886427900,-1.2064694237151300,0.75869105699537900,121.62417284464000,4.68915039618624E-02,8.20661376883777E-02,2.4918529473386200,0.53373936107284600,2.5344278342563000,277.57591333516400,277.06174156235500,79375.040879516000,0.99588005876424000,1008.3587088901500,2.90742041565879E-02,-1.74175302220793E-03,3.62383596843077E-03,463.35654020102900,806.01349796963700,3.6388277248241E-03,3.6388277248241,295.98312193601,4.09871450695209E-02,0.216278934486
